,importance
weather_temperature,10.09841251373291
co2_comedor_sensor,8.603073120117188
co2_habitacion_sensor,8.219073295593262
humedad_comedor_sensor,10.769207000732422
humedad_habitacion_sensor,13.636856079101562
lighting_comedor_sensor,16.835412979125977
lighting_habitacion_sensor,7.152694225311279
precipitacion,36.40340805053711
meteo_exterior_crepusculo,0.2562602162361145
meteo_exterior_viento,21.338943481445312
meteo_exterior_sol_oest,0.12296894937753677
meteo_exterior_sol_est,0.3318440616130829
meteo_exterior_sol_sud,0.2641858160495758
meteo_exterior_piranometro,6.074908256530762
temperature_exterior_sensor,13.801495552062988
humedad_exterior_sensor,2.723649024963379
day_of_week,11.353195190429688
hour,12.345770835876465
minute,0.6039484143257141
