model,mse,rmse,mae,r2
ExtraTrees,2.817179278382329e-07,0.0005307710691420859,0.00028597297863425984,0.9971418904346379
RandomForest,5.449755917469114e-07,0.0007382246214716165,0.00037974025974027686,0.9949515912289721
MLP,2.7143142264700873e-06,0.001647517595192867,0.001037835406937161,0.9712966546137672
GBDT,1.2311642647115639e-05,0.0035087950420501393,0.0025377002332683204,0.884085172419924
Ridge,2.9185572325999106e-05,0.005402367289068664,0.004175978760481612,0.7872791160068178
ANFIS_naval_vanilla,3.0404574745488184e-05,0.005514034343880004,0.0038413698278714006,0.7764007193090066
ANFIS_naval_shap_safe,0.1866178176009768,0.43199284438631247,0.2932770578634499,-1371.4122152339467
