E_eV,1.00E-03,2.15E-03,4.64E-03,1.00E-02,2.15E-02,4.64E-02,1.00E-01,2.15E-01,4.64E-01,1.00E+00,2.15E+00,4.64E+00,1.00E+01,2.15E+01,4.64E+01,1.00E+02,2.15E+02,4.64E+02,1.00E+03,2.15E+03,4.64E+03,1.00E+04,1.25E+04,1.58E+04,1.99E+04,2.51E+04,3.16E+04,3.98E+04,5.01E+04,6.30E+04,7.94E+04,1.00E+05,1.25E+05,1.58E+05,1.99E+05,2.51E+05,3.16E+05,3.98E+05,5.01E+05,6.30E+05,7.94E+05,1.00E+06,1.25E+06,1.58E+06,1.99E+06,2.51E+06,3.16E+06,3.98E+06,5.01E+06,6.30E+06,7.94E+06,1.00E+07,1.58E+07,2.51E+07,3.98E+07,6.30E+07,1.00E+08,1.58E+08,2.51E+08,3.98E+08
ISO_ref_Cf252,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.22E-04,1.29E-03,1.79E-03,2.48E-03,3.39E-03,4.64E-03,6.38E-03,8.81E-03,1.21E-02,1.69E-02,2.37E-02,3.26E-02,4.45E-02,6.05E-02,8.22E-02,1.09E-01,1.45E-01,1.89E-01,2.41E-01,3.00E-01,3.59E-01,4.14E-01,4.52E-01,4.62E-01,4.34E-01,3.66E-01,2.71E-01,1.69E-01,8.61E-02,3.35E-02,4.27E-03,4.31E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+0
ISO_ref_Cf252_2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.39E-02,2.41E-02,2.46E-02,2.56E-02,2.80E-02,3.35E-02,4.35E-02,5.15E-02,5.58E-02,6.38E-02,6.87E-02,7.80E-02,6.93E-02,8.51E-02,8.74E-02,8.95E-02,9.14E-02,8.76E-02,8.38E-02,8.32E-02,8.37E-02,8.29E-02,7.98E-02,7.54E-02,7.14E-02,6.80E-02,6.34E-02,5.91E-02,5.53E-02,4.56E-02,2.77E-02,5.44E-02,5.92E-02,4.92E-02,5.07E-02,7.32E-02,8.53E-02,1.20E-01,1.18E-01,7.69E-02,7.75E-02,5.18E-02,2.68E-02,1.06E-02,1.71E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ISO_ref_AmBe,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.66E-02,2.21E-02,2.87E-02,3.67E-02,4.65E-02,5.77E-02,7.06E-02,8.48E-02,9.61E-02,1.06E-01,1.18E-01,1.27E-01,1.81E-01,2.43E-01,4.21E-01,5.71E-01,6.86E-01,6.50E-01,5.78E-01,1.66E-01,1.72E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ISO_ref_AmB,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.19E-02,2.93E-02,1.18E-01,4.85E-01,1.06E+00,1.40E+00,8.43E-01,3.41E-01,5.67E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
t4-14-s.txt_1,0.00285,0.00739,0.0204,0.0555,0.119,0.136,0.0476,0.029,0.0196,0.0198,0.0201,0.0205,0.0207,0.0208,0.0209,0.021,0.0209,0.0209,0.021,0.0214,0.0229,0.0253,0.0271,0.0337,0.0645,0.117,0.109,0.0199,0.00633,0.0861,0.112,0.11,0.131,0.151,0.168,0.177,0.173,0.151,0.117,0.0814,0.0406,0.0199,0.00209,0.00536,0.00861,0.0039,0.00812,0.000719,0.00138,8.15e-05,9.83e-05,0.00598,0.038,0.00156,0,0,0,0,0,0
t4-14-s.txt_2,0.0019,0.00653,0.0229,0.0747,0.182,0.217,0.0755,0.0446,0.0215,0.026,0.03,0.0298,0.0293,0.0304,0.0312,0.032,0.0326,0.0332,0.034,0.0347,0.0356,0.0364,0.0367,0.0372,0.0377,0.0383,0.0391,0.04,0.0412,0.0426,0.0443,0.0463,0.0486,0.0511,0.0535,0.0553,0.0561,0.0543,0.0462,0.0309,0.0181,0.0129,0.00586,0.00329,0.00217,0.00134,0.00251,0.000608,0.00118,0.000134,0.000201,0.00271,0.017,0.000701,0,0,0,0,0,0
t4-14-s.txt_3,0,0,0,0.00707,0.0232,0.0507,0.0396,0.0244,0.0254,0.0288,0.0318,0.0372,0.0404,0.0445,0.049,0.0553,0.0544,0.0544,0.0586,0.0445,0.0607,0.0607,0.0586,0.0628,0.0756,0.0798,0.054,0.0673,0.0599,0.0748,0.0698,0.0702,0.0852,0.081,0.0686,0.0885,0.0773,0.0669,0.11,0.126,0.0715,0.0931,0.107,0.195,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4-16-s.txt_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0.0169,0.0234,0.026,0.0439,0.0592,0.0685,0.0924,0.103,0.115,0.121,0.157,0.157,0.223,0.264,0.23,0.332,0.369,0.362,0.359,0.371,0.184,0.142,0.0651,0.0475,0.235,0.0787,0.0326,0.0189,0.0175,0.0133,0,0,0,0,0,0,0,0,0
t4-16-s.txt_2,0.0127,0.0131,0.0185,0.0871,0.12,0.154,0.0367,0.0298,0.00925,0.0258,0.0171,0.0142,0.0157,0.0163,0.0178,0.0196,0.0212,0.0222,0.0259,0.0266,0.0276,0.0287,0.0303,0.0359,0.0471,0.0452,0.052,0.0604,0.0693,0.0732,0.0737,0.0851,0.095,0.109,0.115,0.118,0.121,0.148,0.134,0.123,0.0871,0.0846,0.0418,0.0246,0.0208,0.0419,0.0174,0.00787,0.00564,0.0052,0.00314,0,0,0,0,0,0,0,0,0
