model,mse,rmse,mae,r2
ExtraTrees,0.05335873889203786,0.2309951057750745,0.14897980419686063,0.9951057674921953
RandomForest,0.1466633180578952,0.3829664711928385,0.26259252279589285,0.9865480766271413
MLP,0.17195198715838061,0.4146709384058408,0.30215339984776934,0.9842264174734672
GBDT,0.3566211979319921,0.5971776937662626,0.46665005162889994,0.9672843859948312
Ridge,0.7688839203656714,0.876860262736128,0.6800600915030954,0.9294668876558432
ANFIS_vanilla,1.9033314008578548,1.3796127720697047,0.621660482483094,0.8254152792289026
ANFIS_SHAP,43.250589450704744,6.576518033937468,3.170433386567713,-2.9671977665231517
