mean_std,max_std,cv,ci_width,coefficient_of_variation,mean_ci_width,max_uncertainty,mean_uncertainty,error_percent
5.3246254537953064e-05,0.006343658547848463,0.003123617498204112,0.00017314107390120625,0.003123617498204112,0.00017314107390120625,0.006343658547848463,5.3246254537953064e-05,0.5
0.00010792395914904773,0.012745009735226631,0.006340069230645895,0.0003481101302895695,0.006340069230645895,0.0003481101302895695,0.012745009735226631,0.00010792395914904773,1.0
0.00022453165729530156,0.026018798351287842,0.013221981935203075,0.0007156913634389639,0.013221981935203075,0.0007156913634389639,0.026018798351287842,0.00022453165729530156,2.0
0.000617434096056968,0.06929522752761841,0.03580829128623009,0.0019596009515225887,0.03580829128623009,0.0019596009515225887,0.06929522752761841,0.000617434096056968,5.0
0.0012165363878011703,0.12766633927822113,0.06662099808454514,0.003919170703738928,0.06662099808454514,0.003919170703738928,0.12766633927822113,0.0012165363878011703,10.0
