seed,model,base_mse,auc_top,auc_random,auc_bottom,auc_gap_top_bottom,auc_gap_top_random,auc_ratio_top_random,auc_ratio_top_bottom
42,rf,1.7902654696854663,195.14207976554405,81.1484782511528,10.289689942045404,184.85238982349864,113.99360151439126,2.4047534096891026,18.9648163224182
42,et,1.8015319171419408,580.5618653728623,179.46343517169078,5.790117094318569,574.7717482785437,401.0984302011715,3.234986919856079,100.26772445455829
42,hgb,0.6186123301741955,576.2286269596576,159.35647925889356,1.8938360722637255,574.3347908873939,416.87214770076406,3.6159723761435645,304.26531387723554
42,mlp,1.4362161788837784,872.8619957830917,429.40076133478146,17.8018726736373,855.0601231094545,443.4612344483103,2.0327444065767843,49.032032291504905
43,rf,2.114261219028019,279.25044926165594,88.19204946704117,7.992281671115093,271.25816759054084,191.0583997946148,3.166390291973125,34.94001597451953
43,et,1.970041136091293,546.4806736631346,175.86214388850237,4.615008312223626,541.865665350911,370.6185297746322,3.107437800881146,118.41380051593192
43,hgb,0.6884112671444566,566.5700877892599,215.14883658851548,2.0994911753557206,564.4705966139041,351.42125120074445,2.6333867139279734,269.8606664507628
43,mlp,1.5476686564340456,906.3400920296606,363.56365896781494,23.893624919154558,882.446467110506,542.7764330618456,2.4929336848540555,37.93229763571983
44,rf,2.0169714108075922,195.95020111196328,69.57833028176361,9.747849173487204,186.20235193847608,126.37187083019967,2.8162532834352705,20.101890953021773
44,et,2.0844031366287483,423.79652080598623,128.73131510806175,5.092761252601582,418.70375955338466,295.0652056979245,3.292101229993904,83.2154699161307
44,hgb,0.5195144495230266,577.969771191661,140.70594497576872,1.9927176345141553,575.9770535571469,437.2638262158923,4.107642866768638,290.04097779878674
44,mlp,1.5597363160386084,1069.6211582405797,312.62879081555144,19.148754595553342,1050.4724036450264,756.9923674250283,3.4213776519119263,55.85852348271818
45,rf,1.6917011119886651,209.87571517625003,65.19943459214943,8.923475356873904,200.95223981937613,144.6762805841006,3.2189806014286764,23.519504092601732
45,et,1.5080187010606352,369.89887350462936,156.82513878281185,8.240328616488501,361.65854488814085,213.07373472181752,2.3586707869387085,44.88884979228069
45,hgb,0.4346536300611107,582.6821425475056,171.44462087948284,2.002036955137953,580.6801055923677,411.23752166802274,3.398660976112509,291.04464882720606
45,mlp,1.018017713476306,1180.646616054462,384.64983142627364,29.618237125595503,1151.0283789288665,795.9967846281883,3.069406300469821,39.862150169434976
46,rf,1.4785184256026742,290.4721400067983,107.23788088252886,6.0824647440199096,284.38967526277844,183.23425912426947,2.708671018266263,47.75566357245782
46,et,1.4180175437942284,535.8133234461538,254.755125611511,3.7937125489564796,532.0196108971974,281.05819783464284,2.103248451468806,141.23719615852195
46,hgb,0.5360505070249526,527.1085489344605,142.3334464733344,1.6545328798356387,525.4540160546248,384.7751024611261,3.7033358075342364,318.58451128907444
46,mlp,1.1902598738442678,720.2459201105821,370.26772045619947,23.64312913776616,696.6027909728159,349.97819965438265,1.9452031066148017,30.46322320170695
47,rf,1.3153809558827232,180.10324509758925,81.78352521829873,11.069960102109297,169.03328499547996,98.31971987929052,2.202194691618523,16.26954780652332
47,et,1.4764895195084724,413.75469141999145,167.8425807725888,5.690201998067235,408.06448942192424,245.91211064740264,2.4651354234155183,72.71353311542488
47,hgb,0.44547126839852463,515.7766536409675,165.07273806676116,2.1422485002368257,513.6344051407307,350.70391557420635,3.1245417001102047,240.7641567183768
47,mlp,1.394280881094296,916.4945893731119,343.45267311717424,25.967315365304636,890.5272740078073,573.0419162559376,2.6684741774026977,35.29416023489361
48,rf,2.130513468159513,169.09958426963254,80.09421009214662,11.47730114499792,157.62228312463463,89.00537417748592,2.1112585301120403,14.733392644604034
48,et,1.9711717949332654,397.4541962475919,134.92742855196383,6.2937807328989415,391.16041551469294,262.52676769562805,2.9456886602898513,63.15030871189243
48,hgb,0.4278840321597053,584.352637343128,177.45855107283487,1.5477805284735702,582.8048568146544,406.8940862702931,3.2928964753199583,377.5423108074904
48,mlp,1.6266571749775143,1077.3415811928794,469.09344455583295,25.855194404566284,1051.4863867883132,608.2481366370464,2.2966459960082615,41.668283917546894
49,rf,2.1538149280397394,178.99445498823664,71.37711762632594,11.285893910015252,167.70856107822138,107.6173373619107,2.5077288203946164,15.860015734276814
49,et,2.284771658223235,410.9514263832791,127.28947579260378,6.266265352141602,404.6851610311375,283.66195059067536,3.228479211061017,65.58155508731592
49,hgb,0.47091249679219294,564.8325035048931,202.63705519748214,2.1358835700193346,562.6966199348738,362.19544830741097,2.7874097506718436,264.4491073544405
49,mlp,1.3010757490438,977.9302782072399,403.23803602629044,15.197395618116431,962.7328825891235,574.6922421809495,2.4251935354220353,64.34854384138093
50,rf,1.9647639369034198,139.77835375813612,68.63273364448833,10.792691453507391,128.98566230462873,71.1456201136478,2.0366135273319284,12.951204466490907
50,et,1.914221055933445,528.0754426515099,184.9055331700558,4.135039276790698,523.9404033747192,343.16990948145406,2.8559201750108865,127.7074792530711
50,hgb,0.5102512492024971,526.5260115592245,148.39337438359817,2.2103111027081206,524.3157004565163,378.1326371756263,3.548177361329803,238.2135306264694
50,mlp,10.499343789948593,560.9229558219865,198.5340707603341,8.10079583386894,552.8221599881176,362.38888506165245,2.8253234000279854,69.24294443722827
51,rf,2.184640186781675,290.2903408628705,87.59371174719075,5.5778180104392305,284.7125228524313,202.69662911567974,3.3140545716419787,52.043709622566055
51,et,2.190254621779375,563.7160989604072,203.22853995052412,9.066281497158197,554.649817463249,360.48755900988306,2.7738038126812348,62.17721114627208
51,hgb,0.6234790577054337,642.7231464797277,273.841308361948,1.998639959232573,640.7245065204951,368.8818381177797,2.3470642552956624,321.5802543676728
51,mlp,1.542817346751482,1123.3015278460812,381.1095210855778,27.488697195356686,1095.8128306507244,742.1920067605033,2.947450708254129,40.86412389292081
