seed,model,mse,rmse,mae,r2
42,rf,0.12650723041891143,0.35567854928138615,0.244387711201691,0.9877084345696483
42,et,0.048951253418687224,0.221249301510055,0.14412724325684878,0.9952438784867496
42,hgb,0.056438668078290996,0.23756823878265165,0.17445405725896046,0.9945165671271058
42,mlp,0.14180268640008675,0.37656697465402716,0.2652087565975138,0.9862224287347813
43,rf,0.14067984331032368,0.3750731172855816,0.25523286292270386,0.986431478553034
43,et,0.03917646403351939,0.1979304525168358,0.13279413979468743,0.996221447007563
43,hgb,0.05778310518729901,0.24038116645714783,0.17385070767053265,0.994426848304375
43,mlp,0.11775469717170016,0.343154042919066,0.25370173812292784,0.988642592652
44,rf,0.13906058894492648,0.37290828489713995,0.25180222961956406,0.9876100483636887
44,et,0.05214127028969636,0.2283446305252137,0.14549870632045,0.9953542496268069
44,hgb,0.05707969228821604,0.2389135665637597,0.17260561620224124,0.9949134462261009
44,mlp,0.13823847924259253,0.3718043561371928,0.26351103388731334,0.9876816834484659
45,rf,0.1447397654961748,0.38044679719531715,0.2645794000603864,0.986917222468207
45,et,0.056250301403040735,0.23717145992517888,0.15077875040257235,0.9949156268181694
45,hgb,0.07088922411741852,0.26625030350671625,0.19314796744876953,0.9935931034957685
45,mlp,0.13229383820371043,0.36372219921763155,0.2686840350359574,0.9880423611939237
46,rf,0.13798835941199214,0.3714678443849375,0.25249393448067603,0.9884258059023905
46,et,0.05029847203178353,0.2242732084574159,0.1389857304750412,0.9957809302932311
46,hgb,0.06497888642329053,0.25490956518595087,0.1800923674276645,0.9945495260875508
46,mlp,0.11531078589306765,0.33957441878484845,0.2508926901219176,0.9903278837693256
47,rf,0.12517425213325506,0.3537997345013914,0.24285606129227139,0.9885777886615131
47,et,0.04677135587643198,0.21626686264065512,0.14118751217793712,0.9957320748127867
47,hgb,0.06116695607238361,0.24731954243929777,0.17800083848967568,0.9944184840007725
47,mlp,0.13394275553733814,0.36598190602451663,0.263836616279636,0.9877776638269855
48,rf,0.1257390149775205,0.3545969754207169,0.24774886413043512,0.9888612576584266
48,et,0.04255444974120871,0.2062872990302813,0.1382553123993567,0.9962303929413425
48,hgb,0.061002650435223266,0.2469871462955578,0.17878446234694745,0.9945959480533888
48,mlp,0.10712302308407694,0.3272965369264957,0.24590264882742427,0.9905108799608254
49,rf,0.11959491364785957,0.34582497545414437,0.23951888541666666,0.9892661377552865
49,et,0.04071047000926181,0.20176835730426565,0.13275893780193582,0.9963461343876182
49,hgb,0.05249524404920457,0.22911840617725274,0.16821580595948182,0.9952888938480595
49,mlp,0.14321537289255884,0.37843807008883085,0.2800016486046114,0.9871451244671163
50,rf,0.1265901836029808,0.35579514274787505,0.2419924634661847,0.9883677214494018
50,et,0.04384850978028408,0.20940035764125162,0.1382788491344652,0.9959706934350085
50,hgb,0.05973288588363389,0.2444031216732591,0.17188012491294624,0.994511536587881
50,mlp,0.1315331133425572,0.3626749417075258,0.2644601452376255,0.9879128070196953
51,rf,0.12838715345363194,0.3583115312875542,0.24220147222222232,0.988552777004472
51,et,0.052187268761387656,0.22844532991809585,0.14704606994766617,0.9953469043660892
51,hgb,0.06462373765315728,0.2542119935273654,0.17937389891385525,0.99423803260303
51,mlp,0.12258113968623541,0.3501158946495223,0.2511527261736727,0.9890704378775514
