dataset,best_model,best_r2,best_anfis_r2,gap_to_best
naval,ExtraTrees,0.997141890434638,0.7764007193090066,0.2207411711256314
sml2010,ExtraTrees,0.9951057674921951,0.8254152792289026,0.16969048826329258
energy_efficiency,GBDT,0.9863708461485001,0.9851877346467696,0.0011831115017305605
