seed,model,mse,rmse,mae,r2
42,rf,7.806202961352092e-07,0.0008835271903768493,0.0004077215123586233,0.9920058616403278
42,et,3.4062202264563415e-07,0.0005836283257738903,0.00030348519759808843,0.9964908700881703
42,hgb,6.25576242946241e-07,0.0007909337791156988,0.0005499603691121006,0.9938998341037266
42,mlp,2.0872891174605743e-06,0.0014447453469247009,0.0009804021623329997,0.9801767227065559
43,rf,7.472923138352285e-07,0.0008644607069353867,0.00039922968160872576,0.9920897658669705
43,et,3.027997771491733e-07,0.0005502724571965904,0.00028851731601729357,0.9968404706835906
43,hgb,6.759218866428763e-07,0.0008221446871706198,0.0005585651612343839,0.9933312340097946
43,mlp,1.4040775527012602e-06,0.0011849377843166536,0.000850195499704516,0.9848142369010744
44,rf,6.407196494028501e-07,0.0008004496545085456,0.000390993401759518,0.9937887285364067
44,et,3.428120519711088e-07,0.0005855015388289845,0.00030800411953627705,0.996617020499961
44,hgb,6.418986064487964e-07,0.0008011857502781713,0.0005590708008602282,0.9938714518861558
44,mlp,1.2983061750950066e-06,0.0011394323916297125,0.0008444780458070425,0.9842334190486228
45,rf,7.321276589337182e-07,0.0008556445868079329,0.0003939814620863539,0.9929582800640531
45,et,3.6085583717343556e-07,0.0006007127742718941,0.0003063964530093476,0.9964472610818005
45,hgb,6.786824063666741e-07,0.0008238218292608385,0.0005611795549571855,0.9935867429091634
45,mlp,2.306866436580119e-06,0.0015188371988399938,0.0011004106900748005,0.9763793247878221
46,rf,5.980667613634896e-07,0.0007733477622412116,0.000375127251780497,0.9941290235475213
46,et,2.6059249813781087e-07,0.0005104826129632731,0.0002849933668480607,0.9973932618014023
46,hgb,5.988360491618324e-07,0.0007738449774740626,0.0005423698583996645,0.9941185648151678
46,mlp,1.1267984778941973e-06,0.0010615076438227834,0.0007165606860100402,0.98625854349215
47,rf,6.111986306030907e-07,0.0007817919356216785,0.00039068181818183303,0.9939326361737657
47,et,3.027773233484923e-07,0.0005502520543791657,0.00029271016617792077,0.996780100740023
47,hgb,6.0675446390738e-07,0.0007789444549564365,0.0005493726429621256,0.9940559004567557
47,mlp,2.7968105821782984e-06,0.0016723667606653447,0.0011828079314297225,0.9677259067015842
48,rf,1.1209254372642548e-06,0.0010587376621544427,0.0004212924172601351,0.988350144063026
48,et,3.3468882837579334e-07,0.0005785229713466815,0.00029044058092442455,0.9965762480664395
48,hgb,7.202979311600013e-07,0.0008487036768861093,0.0005775485611068853,0.9931178567401674
48,mlp,2.1942454130513755e-06,0.001481298556352289,0.001037797987919453,0.9739502790564464
49,rf,6.370668228947946e-07,0.0007981646590114064,0.00039656577293676384,0.9938085506484609
49,et,2.857261253083302e-07,0.0005345335586362471,0.0002919759810082886,0.9970881591499413
49,hgb,6.1346504968404e-07,0.0007832400970864808,0.000549205528776406,0.9942022251657792
49,mlp,2.4167919973114637e-06,0.0015546034855587658,0.0010204892033817503,0.9662659696767106
50,rf,7.396843187054073e-07,0.0008600490211060107,0.0003919794721408273,0.9925043231980288
50,et,3.502638027741151e-07,0.0005918308903513867,0.0003030917469626932,0.9963861593398082
50,hgb,6.8111982768455e-07,0.0008252998410787137,0.0005560348016345584,0.9933296758068106
50,mlp,1.3085813458258671e-06,0.0011439324043954115,0.0008424012805489088,0.9886413327666506
51,rf,7.181625157100048e-07,0.0008474446977295951,0.0003905372852953855,0.9929377280831514
51,et,3.0996544069714633e-07,0.0005567454002478569,0.00029685902806868823,0.9968250478715657
51,hgb,6.748004883578318e-07,0.0008214624083656122,0.0005641028974181674,0.9934588926287201
51,mlp,2.1722933135112133e-06,0.0014738701820415573,0.001091454977548022,0.9772891411198004
