seed,tag,summary,metrics_source,importance_kind_eval,r2_final,r2_vanilla,r2_shap_raw,entropy_shap,gini_shap,n_eff_shap,mass3_shap,entropy_vanilla,gini_vanilla,n_eff_vanilla,mass3_vanilla,base_mse,del_top_k1,del_bottom_k1,del_random_k1,del_top_rel_k1,del_bottom_rel_k1,del_random_rel_k1,del_ratio_k1,del_top_random_ratio_k1,ins_gain_k1,ins_gain_rel_k1,del_top_k2,del_bottom_k2,del_random_k2,del_top_rel_k2,del_bottom_rel_k2,del_random_rel_k2,del_ratio_k2,del_top_random_ratio_k2,ins_gain_k2,ins_gain_rel_k2,del_top_k3,del_bottom_k3,del_random_k3,del_top_rel_k3,del_bottom_rel_k3,del_random_rel_k3,del_ratio_k3,del_top_random_ratio_k3,ins_gain_k3,ins_gain_rel_k3,del_top_k4,del_bottom_k4,del_random_k4,del_top_rel_k4,del_bottom_rel_k4,del_random_rel_k4,del_ratio_k4,del_top_random_ratio_k4,ins_gain_k4,ins_gain_rel_k4,insertion_baseline_mse,auc_deletion_top,auc_deletion_bottom,auc_deletion_random,auc_deletion_top_rel,auc_deletion_bottom_rel,auc_deletion_random_rel,auc_insertion_gain_top,auc_insertion_gain_top_rel,auc_del_top_bottom_ratio,auc_del_top_random_ratio
42,sml_ea10_ckpt_s42,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214148_sml_ea10_ckpt_s42.json,shap,vanilla,0.9532353169852847,0.9532332813069075,0.9532353169852847,1.449015695231739,0.8112995111487793,2.8429903439298543,0.8723945308961055,2.4316954853843225,0.5314071238325195,8.85484168830812,0.49522172288105043,394.73258970288776,0.026897179322759257,0.09015864893405023,0.020192391778437013,6.8140255009105e-05,0.00022840437117672938,5.115461024800517e-05,0.2983316591416074,1.3320452384521426,-0.017869307771832155,-4.5267032457656536e-05,0.023116007069631905,0.10068967601142731,0.08821127817435581,5.8561182108199096e-05,0.0002550832605111613,0.0002234709787726206,0.2295767350247396,0.2620527391483823,-0.024491149814309665,-6.204166874988099e-05,0.03034067118414896,0.13240228858978753,0.12588025238591172,7.686386170188297e-05,0.00033542274452039893,0.0003189000748092791,0.22915518687084116,0.24102804537515848,-0.03234775668329348,-8.194424598938382e-05,0.03875717358874908,0.1865379329251482,0.12373195172534679,9.818589749055484e-05,0.0004725678542669948,0.0003134576545060001,0.20777100389599226,0.31323496516459093,-0.020484803944953,-5.189268084165091e-05,394.75324097172324,0.08628385470953503,0.37144025553081406,0.28605370231215943,0.000218588120059912,0.0009409921177534223,0.0007246771859589023,-0.07601596235599573,-0.00019256577138891854,0.2322953783940222,0.30163516155115216
43,sml_ea10_ckpt_s43,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214214_sml_ea10_ckpt_s43.json,shap,vanilla,0.9504549459973808,0.9504482777730557,0.9504549459973808,2.1798452591726205,0.6218841035237361,5.227714574458774,0.6182939907143362,2.285008200487149,0.5857461316113322,6.881086457511058,0.54940125587356,403.8014439266034,0.003113371505548912,0.1565948704359812,0.0507674526380697,7.710154464219309e-06,0.00038780166042309675,0.0001257238016397417,0.019881695338174136,0.06132613207291237,0.05586131872956912,0.00013831746470212834,0.01821288438151214,0.14512946997695053,0.15956209568804525,4.5103564277552566e-05,0.0003594080015308947,0.00039514988885737493,0.12549404600098943,0.11414292537875301,0.044902320836513354,0.00011118203648959906,0.02165155097185334,0.1539453132942299,0.05800033837988394,5.361930051886778e-05,0.0003812401258332579,0.00014363578746990854,0.1406444308592292,0.3733004250711298,0.04099977553704548,0.00010151899623233644,0.07819537652363806,0.15888741042317633,0.09136066369353557,0.0001936480854631391,0.00039347905465156275,0.00022625145369747966,0.49214331277023465,0.8558976408608889,0.039310191559536634,9.733543992744997e-05,403.8630902458222,0.08051880936795897,0.4568159237007592,0.2886264922337318,0.00019940198476009957,0.0011312884849014823,0.0007147733039958941,0.1334878515181117,0.0003305274850367246,0.17626095149110252,0.2789723450003865
44,sml_ea10_ckpt_s44,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214240_sml_ea10_ckpt_s44.json,shap,vanilla,0.9541671047241952,0.9541631776421334,0.9541671047241952,2.5128735840533576,0.5087852807213056,9.683909710161034,0.45828683563216166,2.4201430751972604,0.5297060769369268,8.535463313829155,0.4599375628586926,401.5606194114059,0.0026634461220851335,0.13058392739543478,0.03853219222469306,6.6327373585316125e-06,0.00032519106974892106,9.59561031686129e-05,0.020396431438298515,0.06912262106668204,-0.0009019617779699729,-2.246119488297349e-06,0.08223654299439431,0.2582971334721833,0.018835593676726603,0.00020479235019343697,0.0006432332280261594,4.690597824142999e-05,0.3183796191951631,4.3660181038859625,-0.0034604416828187823,-8.617400084723432e-06,0.11022791303571466,0.27642390619280377,0.10505021379549362,0.0002744988121526527,0.0006883740407562274,0.0002616048703916047,0.39876403800774274,1.0492878505630787,-0.028183555691953188,-7.018438611854034e-05,0.11564396785524877,0.24955283814574614,0.18117059348253406,0.0002879863270077517,0.0006214574489688049,0.00045116623673926835,0.4634047391087811,0.6383153338058654,-0.025208397208189126,-6.277546745438592e-05,401.56446826152364,0.25161816301877593,0.7247894224355775,0.23373720032583378,0.0006266006945292314,0.0018049315281412498,0.0005820720185869753,-0.04469917686785152,-0.0001113125796746054,0.3471603685562805,1.0765002860774378
45,sml_ea10_ckpt_s45,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214305_sml_ea10_ckpt_s45.json,shap,vanilla,0.9505996628876295,0.9505940044327843,0.9505996628876295,2.5600973956873108,0.4821085696279379,10.087173164591789,0.4478418838023646,2.372308396673645,0.5587223032574935,8.289133021360664,0.509770356574542,389.7963171316344,0.0035384044228976563,0.0586643041476691,0.01711159618014335,9.077572740900797e-06,0.00015049989332725785,4.389881440148321e-05,0.06031614069657266,0.20678400690620025,-0.004904995975948623,-1.258275636069184e-05,0.012026670061004552,0.1654902887430012,0.12596637608567107,3.085372932588049e-05,0.0004245558038125707,0.00032315948239996286,0.07267296559986516,0.09547524057316382,-0.015968667507195278,-4.096432568613368e-05,0.029012458448733014,0.1890311116965222,0.1385170851995099,7.442979108223698e-05,0.0004849484291886878,0.00035535760373213643,0.15347980651543353,0.20945039672713395,-0.021340600985467972,-5.474491398312542e-05,0.03110946415347371,0.2023150572736654,0.052978125883669236,7.980953843380708e-05,0.0005190276264343026,0.0001359123305051093,0.15376741885918616,0.5872133759732739,-0.026939431560435878,-6.910756002301104e-05,389.81887873722746,0.05836306279792325,0.48501108115019065,0.29952832231708726,0.00014972707599547142,0.0012442679928820386,0.0007684226585853956,-0.0532314822608555,-0.00013655439786111053,0.12033346260748619,0.19484989715244352
46,sml_ea10_ckpt_s46,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214331_sml_ea10_ckpt_s46.json,shap,vanilla,0.936880051780128,0.9368524440020476,0.936880051780128,1.9343346070497451,0.7228474386836783,4.666642510131556,0.7212167910148694,2.47096600926289,0.5112644368178125,9.790842929985583,0.45187224231539913,405.21415648901905,0.0021098479432453132,0.11200191132809323,0.01091003677356639,5.206747862725479e-06,0.00027640177307361203,2.692412542566739e-05,0.018837606592676658,0.19338596072964817,0.00011027386517525883,2.721347869027948e-07,0.006804001453133424,0.2570253399143212,0.04430733538367804,1.6791124752616558e-05,0.0006342950654570375,0.00010934300955223072,0.026472103705319678,0.1535637698376762,-0.0013833326462417972,-3.413800126642809e-06,0.04166455132065039,0.3085603538762598,0.21746555541079715,0.0001028210654870824,0.0007614747632456437,0.0005366682084728443,0.13502885512383053,0.19159149706147052,-0.006784528699029124,-1.6742917905451504e-05,0.04155670686418489,0.25095311756018646,0.1624804893158398,0.00010255492360941476,0.0006193098477471047,0.0004009743655642556,0.1655954995420716,0.2557642892319741,-0.008658346935192185,-2.1367142562693446e-05,405.2178202952342,0.07030183017749891,0.7470632082347208,0.3484681538391783,0.00017349302597576908,0.0018436256391130396,0.0008599604635200365,-0.012441897880279384,-3.070422191998964e-05,0.09410425972325033,0.2017453514840906
47,sml_ea10_ckpt_s47,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214356_sml_ea10_ckpt_s47.json,shap,vanilla,0.9585720456746056,0.9585661368867952,0.9585720456746056,1.393412705246464,0.8307722699565461,2.841382064515134,0.8720547228012244,2.5172043509964213,0.4774036477888124,10.30333667981016,0.41217916901688073,405.8455797010462,0.0030726105505323176,0.06618802867893692,0.008503650424472653,7.570885834941593e-06,0.00016308673049412575,2.095292113502034e-05,0.04642245148877949,0.3613284174203968,-0.008957238037623938,-2.2070048306144733e-05,0.019349731134525427,0.15719882524734885,0.011231676395254908,4.76775702442756e-05,0.0003873365464843653,2.7674753544262704e-05,0.12309081256781636,1.7227821076626997,-0.023282416519805338,-5.7366350555554954e-05,0.08167511375660297,0.16813912346367488,0.1192124885488397,0.0002012467742454316,0.0004142933467146027,0.0002937385412369248,0.4857591265709344,0.685122127305116,-0.033711684899287775,-8.306338528502196e-05,0.08676980852681027,0.20294826311317138,0.09079540400603037,0.0002138000581174899,0.0005000627658989573,0.00022371909057851958,0.42754644555886984,0.9556630038244183,-0.03992763775841013,-9.837908631845568e-05,405.85493576514034,0.1459460544297997,0.4599060946070779,0.18009369215934612,0.00035960981646592297,0.0011332046413955097,0.00044374930063795746,-0.08143653931711015,-0.00020065430315287713,0.31733881359883215,0.8103895959879419
48,sml_ea10_ckpt_s48,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214423_sml_ea10_ckpt_s48.json,shap,vanilla,0.9408951413419382,0.9408914721739265,0.9408951413419382,1.1877996034996856,0.8492200426084191,1.9929549572504188,0.886615935644023,2.5574375549158206,0.4559526875271813,11.352649713944437,0.3790081582684025,406.3072037338634,0.020859257705865275,0.06786215969930254,0.03329359406831145,5.133863617030111e-05,0.00016702179797863732,8.194192414594527e-05,0.30737686212736726,0.6265246600424077,-0.007216999994454909,-1.7761942747041286e-05,0.06212541867444088,0.10972380452767538,0.02875883466083451,0.00015290257741808018,0.00027005133928057466,7.078101100976752e-05,0.5661981822568404,2.1602203081228026,-0.020617445186928762,-5.074212017207431e-05,0.06092392397920321,0.1792624411906445,0.05407184651642183,0.00014994546840254656,0.00044119926878791773,0.0001330811908317517,0.3398588325262799,1.126721721248666,-0.02317850619778028,-5.704521274258498e-05,0.06045831707808702,0.1783762577847483,0.12999122926601103,0.00014879952046749305,0.0004390182013646666,0.00031993336094320566,0.33893701902135903,0.4650953561943893,-0.021006461924855557,-5.169953918717829e-05,406.3181655991471,0.16370813004562024,0.4121054544603453,0.16447309284441758,0.0004029171241395238,0.0010142706077401443,0.0004047998443860947,-0.057907682344364275,-0.0001425180738817691,0.3972481515916838,0.9953490094545963
49,sml_ea10_ckpt_s49,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214449_sml_ea10_ckpt_s49.json,shap,vanilla,0.9580054302123451,0.9580015550404996,0.9580054302123451,2.619062770954179,0.445395601765201,11.24190911879683,0.4066515644207144,2.39408962044503,0.5498306004947455,8.653975931155989,0.46482938847395494,409.97045505781966,0.0013218157015444376,0.04499874576561069,0.05027948041424679,3.224173072076654e-06,0.00010976094791822069,0.00012264171672360038,0.029374500978319087,0.026289366768070442,-0.005569155024318206,-1.3584221885100031e-05,0.020278262874455777,0.12223369549354857,0.014563098988162437,4.946274206904936e-05,0.00029815244973277206,3.552231339721423e-05,0.16589748671519267,1.392441463835853,-0.012781998862806176,-3.117771150726984e-05,0.046651554395282346,0.13364508372387718,0.01577234982386244,0.00011379247899388942,0.00032598710974191637,3.847191823039533e-05,0.34907048650827743,2.9578062186868355,-0.019780363945756108,-4.824804690009126e-05,0.04952743338753862,0.15135698096264605,0.09837567676294157,0.00012080732349494176,0.00036918997233910243,0.0002399579666029032,0.32722265647882115,0.5034520220519826,-0.021523920778918182,-5.2500911614313424e-05,409.9723246148362,0.09235444181427965,0.3540566425815541,0.10466302740061906,0.000225270969346448,0.00086361501960335,0.0002552940732908613,-0.04610890071018048,-0.00011246832515706782,0.2608465163670689,0.8823979594999848
50,sml_ea10_ckpt_s50,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214516_sml_ea10_ckpt_s50.json,shap,vanilla,0.9633956845891817,0.9633876741865236,0.9633956845891817,0.2783500836979652,0.9322734109665527,1.1054502890801294,0.9843268800812939,2.5644473572174156,0.46305016730349746,11.305871146943447,0.3878766183862713,405.6240644429545,0.01950077109228232,0.06689271541080188,-0.00021299408365393901,4.807597182150121e-05,0.00016491308399728651,-5.251021877768626e-07,0.2915230899543031,-91.55545942544373,-0.0071974570233805935,-1.774387833651719e-05,0.01935636285554665,0.06320820578338271,0.031444432258979305,4.7719956857413746e-05,0.00015582952621459156,7.752112119423196e-05,0.3062318035347423,0.6155736155612621,-0.011873911464590492,-2.9272733372614305e-05,0.04579401022874663,0.23787624901115123,0.09626738432808679,0.00011289766619649565,0.0005864451098034019,0.00023733154111625754,0.192511906585543,0.47569600595152095,-0.017532970245838442,-4.3224001186715024e-05,0.06758350651637102,0.22182480301728447,0.060236898608309275,0.00016661611684499935,0.0005468728866516266,0.00014850425280125515,0.3046706481727396,1.1219619216240055,-0.020455515172102423,-5.042894613271162e-05,405.6304313453329,0.10869251188861995,0.4454432140085771,0.15772376884939376,0.0002679636673871597,0.0010981676213424499,0.00038884223761722866,-0.04323336780817044,-0.00010658314679394373,0.24400980522352966,0.6891320989908528
51,sml_ea10_ckpt_s51,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260502_214542_sml_ea10_ckpt_s51.json,shap,vanilla,0.9586141454429037,0.9586094445891291,0.9586141454429037,1.433505322098976,0.7902940368264064,2.296256328784432,0.8246128359296827,2.3948567680461776,0.5469208891612842,8.681052409401445,0.4689248182436753,405.7288895871961,0.00316798068541857,0.0814077342789119,0.0040528599245703845,7.808122040907132e-06,0.0002006456438478882,9.98908391436929e-06,0.03891498410367008,0.7816654766257977,-0.0049484954100194045,-1.219613072499179e-05,0.058553620981626864,0.09720851908588202,0.030900506671741823,0.00014431711047542458,0.00023958983838884482,7.616047923819546e-05,0.6023507150571177,1.8949081192017672,-0.008373138976537575,-2.0636554967720135e-05,0.08225717203839622,0.14101309982419252,0.09735765404144558,0.00020273925310590422,0.0003475549891644744,0.00023995741131596692,0.5833300036689263,0.8448968172808896,-0.030038265951588983,-7.403272872717741e-05,0.11495836451661035,0.14484932315230026,0.1731473222872637,0.00028333788267720605,0.00035701012885642694,0.00042675620773130035,0.7936410196059043,0.6639338281259834,-0.04009592908101922,-9.882098538921202e-05,405.74306077903435,0.19987396562103754,0.3513501476256806,0.21685825181910445,0.0004926293659403854,0.0008659727139054767,0.0005344905363769972,-0.06093361717364587,-0.00015017784175199947,0.5688740049524876,0.9216802401729389
