dataset,best_model,best_r2,best_anfis_r2,gap_to_best
sml2010,ExtraTrees,0.9951057674921951,0.9380579076447224,0.05704785984747274
naval,ExtraTrees,0.997141890434638,0.9623107201128924,0.03483117032174554
energy_efficiency,GBDT,0.9863708461485,0.9851877346467696,0.0011831115017304494
