variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
full_rho1,3,-0.029882848902533638,1.2480217064193007,0.006075880918851251,-0.029882848902533638,-0.03595872982138487,0,3,0.0,1.0,0.3861288514080646,0.1669808525981852,0.0037860871030185685,0.38234276430504605,2.160692745219271,3.7871999055694334,0.6988890751903455,1.9057028118824955,0.6937513372980809
random_target,3,-0.035306389197503694,1.2370053917141466,0.006075880918851251,-0.035306389197503694,-0.04138227011635496,0,3,0.0,1.0,0.42847052191572743,0.18830928520449083,0.008895635854107317,0.41957488606162013,2.170456912560375,3.7935837038374687,0.6979828979484406,1.90728027532235,0.6929348975591706
sparsity_only,3,-0.0423119458706502,1.2626791337796353,0.006075880918851251,-0.0423119458706502,-0.048387826789501466,0,3,0.0,1.0,0.4609187260488075,0.20073285245238756,0.010538940174636005,0.45037978587417155,2.1940349843118976,3.7936730103050884,0.7006431728489658,1.9041396445916214,0.6948641149574306
task_only,3,-0.052619329037569905,1.2465129359891167,0.006075880918851251,-0.052619329037569905,-0.05869520995642117,0,3,0.0,1.0,0.4466849488618436,0.19757734984334738,0.012203340846497213,0.4344816080153464,2.177951014799506,3.8310514268029325,0.7003771679408267,1.9101497579832258,0.6932209655212143
