variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
full,3,-19.563861033299705,35.34574348438241,-19.642951838650085,-19.563861033299705,0.07909080535037911,1,2,0.0,1.0,0.3890173709533542,0.1813214164062733,0.014042390649156763,0.37497498030419746,2.0650810223967486,3.8706029484217606,0.7371930873006619,1.7883354232259505,0.720470674893661
random_target,3,-19.533807497797937,35.28146836014241,-19.642951838650085,-19.533807497797937,0.10914434085214697,1,2,0.0,1.0,0.4166524832506582,0.19353286499262676,0.015876781089038634,0.40077570216161956,2.0971030931127737,3.8719979680423076,0.7368664352071767,1.7889316100842045,0.7203490665859688
shuffled_q_err,3,-19.538935681202236,35.330765933630595,-19.642951838650085,-19.538935681202236,0.1040161574478478,1,2,0.0,1.0,0.4072539904792715,0.1894303118184155,0.01598393219288141,0.3912700582863901,2.071039631856793,3.8638391878520006,0.7380024701878479,1.7864174858972721,0.7206914433008865
sparsity_only,3,-19.607810179913464,35.454915941402355,-19.642951838650085,-19.607810179913464,0.035141658736620375,1,2,0.0,1.0,0.39805459025364104,0.18055459911466018,0.01119413998607873,0.38686045026756233,2.163043766679256,3.993109887145902,0.7348984623193598,1.7985228698908768,0.7177465665492218
task_only,3,-19.553696083062466,35.353472169961854,-19.642951838650085,-19.553696083062466,0.08925575558761667,1,2,0.0,1.0,0.38511537109836996,0.17956841302290863,0.014041077215409814,0.37107429388296015,2.066663107595734,3.8679817532768737,0.7375410321560171,1.7875195551736407,0.720607239906346
