seed,tag,summary,metrics_source,importance_kind_eval,r2_final,r2_vanilla,r2_shap_raw,entropy_shap,gini_shap,n_eff_shap,mass3_shap,entropy_vanilla,gini_vanilla,n_eff_vanilla,mass3_vanilla
42,energy_ea10_s42,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211608_energy_ea10_s42.json,vanilla_fallback,vanilla,0.9819457146100332,0.9819457146100332,0.9815698910972591,1.4197667045354128,0.5810631393395544,3.653085465936498,0.8448438572935567,1.8536697917856237,0.3641525179607965,5.5256075947431045,0.6280985079894129
43,energy_ea10_s43,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211616_energy_ea10_s43.json,shap,shap,0.987271519227912,0.9872260203632655,0.987271519227912,1.6751763331779943,0.47231983247934406,4.616860143410669,0.7183184465307231,1.777984541811759,0.40822120715828225,4.718463055655816,0.6518399278416743
44,energy_ea10_s44,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211623_energy_ea10_s44.json,vanilla_fallback,vanilla,0.9799275898739993,0.9799275898739993,0.9790553040830171,1.8143840138325926,0.37582323394327566,5.565814394190478,0.6495769715584195,1.9203491091334124,0.3068592249348594,6.0280401829704005,0.6442815578504357
45,energy_ea10_s45,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211631_energy_ea10_s45.json,shap,shap,0.9758477061175255,0.9758018433089225,0.9758477061175255,1.574550209724705,0.5190887142816876,4.146298994594569,0.759619171673644,1.6291714284081773,0.4615019623789032,3.411413263001744,0.7036773894297298
46,energy_ea10_s46,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211639_energy_ea10_s46.json,vanilla_fallback,vanilla,0.9863538142698172,0.9863538142698172,0.986066244429446,1.6243191229248086,0.4955480791648834,4.293390808754082,0.7479743806594704,1.875417707626427,0.35314384522527065,5.621757880019649,0.6521554840014129
47,energy_ea10_s47,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211646_energy_ea10_s47.json,shap,shap,0.9867725724528743,0.9865877244376344,0.9867725724528743,1.6317930651324715,0.4698691760069109,4.6807936858901105,0.7086079065511575,1.9353130351910517,0.2876098531639044,6.34789144553913,0.570492170569695
48,energy_ea10_s48,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211654_energy_ea10_s48.json,vanilla_fallback,vanilla,0.9799822798235718,0.9799822798235718,0.9799685086853371,1.442637644355996,0.5893094928803964,3.5627947165592473,0.8494731477619177,1.9238233577241202,0.3113549930093833,6.039289274570824,0.624147609038243
49,energy_ea10_s49,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211702_energy_ea10_s49.json,shap,shap,0.9832488121272154,0.9831898436332166,0.9832488121272154,1.2998319496408164,0.640847613436117,3.036635149815923,0.9122746505393543,1.857278390710924,0.35339824195495306,5.1653821462646,0.6272847632276976
50,energy_ea10_s50,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211709_energy_ea10_s50.json,vanilla_fallback,vanilla,0.9802083542613446,0.9802083542613446,0.9798669699316966,1.457454571806217,0.5832725103743841,3.3539765365888417,0.8371069497856263,1.8692842322417271,0.3569830747727454,5.57981360562484,0.6299274647397468
51,energy_ea10_s51,/home/lebedeffson/Code/bonner-shap-reconstruction/results/energy_ea_minimal/training_summary_20260502_211717_energy_ea10_s51.json,vanilla_fallback,vanilla,0.9760318541997066,0.9760318541997066,0.9745696519547036,1.2368788409190266,0.6545627620175327,2.9677915855127917,0.9448071120950269,1.893947910307022,0.3366231390773171,5.8876762055448255,0.6260122726701709
