variant,n_seeds,r2_final_mean,r2_final_std,r2_vanilla_mean,r2_shap_raw_mean,delta_r2_mean,wins,losses,fallback_rate,shap_rate,auc_top,auc_random,auc_bottom,auc_gap,auc_top_random_ratio,n_eff_shap,mass3_shap,entropy_shap,gini_shap
task_only,3,0.9224964546112532,0.009351144135967084,0.9526149122406989,0.9224964546112532,-0.0301184576294458,0,3,0.0,1.0,0.31652954960613516,0.19902488088194825,0.013487314806392684,0.3030422347997425,1.512383013135934,5.913882071337837,0.6502074714985553,2.049292849888111,0.6455339949437701
gamma_x03_rho1,3,0.9224979613662696,0.009349269196217895,0.9526149122406989,0.9224979613662696,-0.030116950874429338,0,3,0.0,1.0,0.31652977232519675,0.19902467517803615,0.01348708594847873,0.303042686376718,1.5123854696162844,5.913883628518705,0.6502073368811491,2.0492933096581294,0.6455338135756062
gamma_x10_rho1,3,0.9224979613662696,0.009349269196217895,0.9526149122406989,0.9224979613662696,-0.030116950874429338,0,3,0.0,1.0,0.31652977232519675,0.19902467517803615,0.01348708594847873,0.303042686376718,1.5123854696162844,5.913883628518705,0.6502073368811491,2.0492933096581294,0.6455338135756062
gamma_x30_rho1,3,0.9224979613662696,0.009349269196217895,0.9526149122406989,0.9224979613662696,-0.030116950874429338,0,3,0.0,1.0,0.31652977232519675,0.19902467517803615,0.01348708594847873,0.303042686376718,1.5123854696162844,5.913883628518705,0.6502073368811491,2.0492933096581294,0.6455338135756062
gamma_x100_rho1,3,0.9224979613662696,0.009349269196217895,0.9526149122406989,0.9224979613662696,-0.030116950874429338,0,3,0.0,1.0,0.31652977232519675,0.19902467517803615,0.01348708594847873,0.303042686376718,1.5123854696162844,5.913883628518705,0.6502073368811491,2.0492933096581294,0.6455338135756062
