seed,tag,summary,metrics_source,importance_kind_eval,r2_final,r2_vanilla,r2_shap_raw,entropy_shap,gini_shap,n_eff_shap,mass3_shap,entropy_vanilla,gini_vanilla,n_eff_vanilla,mass3_vanilla,base_mse,del_top_k1,del_bottom_k1,del_random_k1,del_top_rel_k1,del_bottom_rel_k1,del_random_rel_k1,del_random_trials_k1,del_ratio_k1,del_top_random_ratio_k1,ins_gain_k1,ins_gain_rel_k1,del_top_k2,del_bottom_k2,del_random_k2,del_top_rel_k2,del_bottom_rel_k2,del_random_rel_k2,del_random_trials_k2,del_ratio_k2,del_top_random_ratio_k2,ins_gain_k2,ins_gain_rel_k2,del_top_k3,del_bottom_k3,del_random_k3,del_top_rel_k3,del_bottom_rel_k3,del_random_rel_k3,del_random_trials_k3,del_ratio_k3,del_top_random_ratio_k3,ins_gain_k3,ins_gain_rel_k3,del_top_k4,del_bottom_k4,del_random_k4,del_top_rel_k4,del_bottom_rel_k4,del_random_rel_k4,del_random_trials_k4,del_ratio_k4,del_top_random_ratio_k4,ins_gain_k4,ins_gain_rel_k4,insertion_baseline_mse,auc_deletion_top,auc_deletion_bottom,auc_deletion_random,auc_deletion_top_rel,auc_deletion_bottom_rel,auc_deletion_random_rel,auc_insertion_gain_top,auc_insertion_gain_top_rel,auc_deletion_gap_top_bottom,auc_deletion_gap_top_random,auc_del_top_bottom_ratio,auc_del_top_random_ratio
42,gamma_sweep_v2_fast3_final_gamma_x100_rho1_s42,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260504_122618_gamma_sweep_v2_fast3_final_gamma_x100_rho1_s42.json,shap,ea_raw,0.9117202157235436,0.9532332813069075,0.9117202157235436,1.4439799200968289,0.8115594055096436,2.8314283705900265,0.8742086234421697,2.4316954853843225,0.5314071238325195,8.85484168830812,0.49522172288105043,394.7356178374655,0.10596669226174527,-0.0006824092425290473,0.020476119823740646,0.0002684497863209733,-1.7287754428333124e-06,5.1872997769792705e-05,20,-155.2832022384543,5.1751353854507665,-0.2125109723492642,-0.0005383281632727039,0.11541516073327784,0.0013994421359484477,0.05753283597361758,0.0002923859806864461,3.5452644066304445e-06,0.00014575030317458428,20,82.47226354420503,2.0060745968475615,-0.15260779301604543,-0.0003865827350336019,0.15233710080906349,0.00978792566490938,0.08777781552579711,0.00038592185231125684,2.4796155255844142e-05,0.00022237115567802618,20,15.563777863540823,1.7354852122351745,-0.0392358707813969,-9.939145267963229e-05,0.17987368430840434,0.013000423797734584,0.09733062465439843,0.00045568141353402727,3.2934509099930134e-05,0.0002465716805278884,20,13.835986202689224,1.8480687342267834,-0.03285728915324171,-8.32333687265536e-05,394.76101539501065,0.41067244982741613,0.017346375078460596,0.20421402373848424,0.0010403734329252033,4.3944286491023e-05,0.000517343798001451,-0.3145277945486953,-0.0007967549537128629,0.39332607474895553,0.2064584260889319,23.67482819587379,2.010990441828377
43,gamma_sweep_v2_fast3_final_gamma_x100_rho1_s43,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260504_122633_gamma_sweep_v2_fast3_final_gamma_x100_rho1_s43.json,shap,ea_raw,0.9273492621935013,0.9504482777730557,0.9273492621935013,2.1938561518457997,0.6150350139582321,5.2709060209704415,0.6170903860072618,2.285008200487149,0.5857461316113322,6.881086457511058,0.54940125587356,403.81754571935153,0.026456611220282866,-0.0003771293722820701,0.017966423294825517,6.551624985277344e-05,-9.33910317369344e-07,4.4491437990443154e-05,20,-70.15261402298711,1.472558604718505,0.024891103447544083,6.162885420594692e-05,0.03544723795414484,0.00010066795482543967,0.04599975643481571,8.778033131522266e-05,2.492906905422145e-07,0.0001139122282388019,20,352.1203710107225,0.7705962096474361,0.037994110530348735,9.407110068439032e-05,0.03508119760624595,0.0015340974532591645,0.0584466721676705,8.687388147969896e-05,3.798986620371717e-06,0.00014473534591855032,20,22.867646060456515,0.600225749466207,0.039423239708867186,9.760953737804637e-05,0.05209783071745733,0.013460076659043807,0.09151518589659986,0.00012901329144738197,3.3332074848472206e-05,0.00022662508567718753,20,3.870544873797752,0.5692807178007784,0.010241032411840933,2.5356171724479914e-05,403.8871688959964,0.10980565652926089,0.008176239051465473,0.15918723319819889,0.00027191898344499927,2.0247359576465362e-05,0.0003942058359911676,0.09498341816890843,0.0002351731510276501,0.10162941747779541,-0.049381576668938,13.429849081546847,0.6897893400273853
44,gamma_sweep_v2_fast3_final_gamma_x100_rho1_s44,/home/lebedeffson/Code/bonner-shap-reconstruction/results/sml2010_ea_minimal/training_summary_20260504_122648_gamma_sweep_v2_fast3_final_gamma_x100_rho1_s44.json,shap,ea_raw,0.9284244061817638,0.9541631776421334,0.9284244061817638,2.510043857031759,0.5100070212589429,9.639316493995647,0.4593230011940156,2.4201430751972604,0.5297060769369268,8.535463313829155,0.4599375628586926,401.56217957672754,0.06861189545179514,0.0005031143394944593,0.022873348125628468,0.00017086244407806613,1.2528927401100696e-06,5.696091237909505e-05,20,136.3743585292432,2.9996437369795994,-0.12233394272470832,-0.00030464453134585,0.09760771895986409,0.0013082130861334917,0.06758637897813458,0.00024306999992566202,3.2578095066433532e-06,0.00016830862669730203,20,74.6114833430833,1.4441921646667557,-0.1703631628370772,-0.00042425025095357773,0.19876103120702737,0.004295420591574839,0.10382667755427236,0.0004949694999079191,1.0696775767335655e-05,0.00025855691306315775,20,46.272775138856055,1.9143541514291111,-0.23854961345034553,-0.0005940529142909422,0.19687302545224838,0.01816690573610913,0.10164607600440831,0.0004902678475840647,4.5240579566676756e-05,0.00025312661693277386,20,10.836904660659977,1.9368482600525898,-0.23597505373146532,-0.0005876415658008085,401.562904097653,0.4291112106189132,0.014938643715510125,0.2336727685974253,0.0010686046456646467,3.7201321427372415e-05,0.0005819093044163942,-0.5880672745155096,-0.0014644462138178492,0.4141725669034031,0.1954384420214879,28.724910959932817,1.8363766269930903
